experiment_name,precision,recall,mAP50,mAP50-95,training_time_ms,eval_time_ms
hy-3492508408,0.960390,0.952380,0.973630,0.592310,1205896,4951
hy-3492508408,0.956670,0.934550,0.962050,0.587510,1229833,4886
hy-3492508408,0.965530,0.925930,0.956060,0.609230,1208777,4745
hy-3492508408,0.950780,0.924810,0.952320,0.610780,1196741,5140
hy-3492508408,0.962580,0.952670,0.973180,0.607080,1217484,4841
hy-3492508408,0.959820,0.884660,0.930680,0.549650,1197873,6748
hy-3492508408,0.968450,0.941800,0.952520,0.578170,1203147,5045
hy-3492508408,0.966190,0.894180,0.953690,0.586720,1221413,4979
hy-3492508408,0.992620,0.952130,0.972850,0.612540,1207149,4623
hy-3378715402,0.984190,0.987920,0.986940,0.619770,1186026,4834
hy-3378715402,0.955310,0.904800,0.934630,0.567650,1159544,4783
hy-3378715402,0.953860,0.941800,0.975490,0.594610,1157352,4677
hy-3378715402,0.971340,0.957670,0.968760,0.601450,1139305,4915
hy-3378715402,0.951830,0.945870,0.978270,0.605660,1115699,4758
hy-3378715402,0.957320,0.949510,0.970040,0.592440,1119123,4863
hy-3378715402,0.944890,0.947090,0.960950,0.598690,1226237,5778
hy-3378715402,0.971230,0.931220,0.975160,0.617070,1214449,4825
hy-3378715402,0.951780,0.939880,0.960690,0.615320,1168255,4722
hy-3378715402,0.978140,0.951840,0.974700,0.611370,1188202,4650
hy-3378715402,0.966680,0.921020,0.966920,0.619640,1206047,4627
hy-3378715402,0.957100,0.944280,0.957030,0.619590,1196987,4716
hy-3378715402,0.958030,0.966190,0.978090,0.590380,1159824,4819
hy-3378715402,0.972930,0.950700,0.966840,0.598540,1132696,5264
hy-3378715402,0.983360,0.943070,0.982450,0.598050,1183216,4554
hy-3378715402,0.987630,0.957670,0.972900,0.630200,1209015,4569
hy-3378715402,0.994500,0.957330,0.983560,0.616910,1240785,4754
hy-3378715402,0.957030,0.942730,0.958880,0.583930,1127949,4996
hy-3378715402,0.971550,0.925930,0.966770,0.605140,1135309,4835
hy-3378715402,0.887490,0.824470,0.868790,0.438990,1199660,6684
hy-3378715402,0.971700,0.973540,0.986730,0.610070,1157352,4723
hy-3378715402,0.922480,0.947090,0.966120,0.622380,1168086,4719
hy-3378715402,0.976790,0.925930,0.955120,0.606240,1158069,4765
hy-3378715402,0.962930,0.920630,0.958230,0.597610,1134358,4753
hy-3378715402,0.969570,0.952130,0.969950,0.610930,1114626,4872
hy-4213948446,0.963680,0.984130,0.990270,0.622240,1196792,4747
hy-4213948446,0.949560,0.910050,0.931330,0.593980,1189292,4758
hy-4213948446,0.941930,0.944150,0.971210,0.596130,1279569,4897
hy-4213948446,0.988000,0.941800,0.974620,0.616130,1200777,4667
hy-4213948446,0.981180,0.936170,0.982000,0.606310,1161643,4614
hy-4213948446,0.957500,0.957670,0.969220,0.596230,1177547,4697
hy-4213948446,0.964010,0.931220,0.971430,0.598080,1123624,5488
hy-4213948446,0.964140,0.936510,0.963140,0.606020,1112021,4746
hy-4213948446,0.967520,0.945640,0.952600,0.585050,1105498,4831
